PLAYER_NAME,GP,availability_rate,FT_PCT,total_score,z_pts,z_ast,z_reb,z_stl,z_blk,z_fg_pct,z_ft_pct,z_fg3m,z_tov
Victor Wembanyama,46,0.5609756097560976,0.836,16.271117603657792,2.348626856440911,0.888274354436799,3.0591585263540853,1.0250622890075567,8.381680960061669,0.2609695937444847,0.5780754867470966,2.2775760143522996,-2.5483064774871065
Nikola Jokić,70,0.8536585365853658,0.8,14.47566234847798,3.1562476971539017,4.46389766732807,3.761521167293609,2.688126687018594,0.4856934331161563,1.1340393188186382,0.39829960093891487,1.0568748434470898,-2.669038066636995
Shai Gilgeous-Alexander,76,0.926829268292683,0.898,11.615105459105694,3.628629698325651,2.3735332690224045,0.5802315583322374,2.4505460587313026,1.4726918739843458,0.6363895755263711,0.8876895123056329,1.1678476771657453,-1.5824537642879968
Anthony Davis,51,0.6219512195121951,0.775,11.348106024024613,2.4095793727211365,0.7782551755786059,3.30705122315627,1.2626429172948475,4.433687196588914,0.6101974837741465,0.27345523579434383,-0.3857719948954315,-1.3409905859882196
Luka Dončić,50,0.6097560975609756,0.782,10.646836301151938,2.942913890173111,3.088657931600659,1.9023259412772227,2.688126687018594,-0.007805787317938198,0.033971465225205,0.30841165803482373,2.721467349226922,-3.031232834086662
Tyrese Haliburton,73,0.8902439024390244,0.851,10.262364043385068,1.480053499447695,3.9138017730371057,-0.039500183673224644,1.7378041738694294,0.7324430433332035,0.23477750199226005,0.6529821058338392,2.1666031806336443,-0.6166010510888871
Jayson Tatum,72,0.8780487804878049,0.814,9.310985239353428,2.7295800831923214,2.1534949113060184,2.1089031886123766,1.0250622890075567,0.23894382289910904,0.05143285972668809,0.4682124454198741,2.721467349226922,-2.1861117100374403
Giannis Antetokounmpo,67,0.8170731707317073,0.617,9.122319832916535,3.278152729714353,2.4285428584515008,3.430997571557363,0.5499010324329743,1.9661910944184402,1.3523067500871768,-0.5155611519193447,-0.9406361634887089,-2.4275748883372184
Tyrese Maxey,52,0.6341463414634146,0.879,8.828486201496148,2.6533894378420393,2.2085045007351147,-0.12213108260728632,2.688126687018594,-0.007805787317938198,-0.07952759903443508,0.7928077947957588,2.2775760143522996,-1.5824537642879968
Karl-Anthony Towns,72,0.8780487804878049,0.829,8.597692956684902,2.363864985510967,0.55821681786222,3.80283661676064,0.7874816607202653,0.7324430433332035,0.697504456281562,0.5431190645066167,1.0568748434470898,-1.9446485317376632
Stephen Curry,70,0.8536585365853658,0.933,8.495286225995848,2.379103114581024,2.1534949113060184,0.3323388615300527,1.0250622890075567,-0.007805787317938198,0.01651007072372191,1.0624716235080323,3.720222852694822,-2.1861117100374403
Anthony Edwards,79,0.9634146341463414,0.837,8.22745874951241,2.8514851157527734,1.3283510698695709,0.869439704601453,1.2626429172948475,0.4856934331161563,0.007779373472980365,0.5830692613528795,3.387304351538855,-2.5483064774871065
James Harden,79,0.9634146341463414,0.874,8.120223465300247,2.1200549203900647,3.638753825891623,0.9107551540684837,1.9753848021567209,0.7324430433332035,-0.3152564248044568,0.7678389217668447,2.1666031806336443,-3.876353958135882
Jalen Johnson,36,0.43902439024390244,0.746,8.04295080343438,1.525767886657864,1.6033990170150534,2.6460040316837774,2.212965430444012,1.4726918739843458,0.4705063277622818,0.12863577222664138,0.16909217369784588,-2.1861117100374403
Dyson Daniels,76,0.926829268292683,0.593,8.023858681910141,0.7943376912951556,1.2733414804404746,0.9520706035355148,5.539094226466087,0.7324430433332035,0.40939144700709096,-0.6354117424581329,0.05811933997919054,-1.0995274076884418
Evan Mobley,71,0.8658536585365854,0.725,7.999415573372277,1.4648153703776383,0.6132264072913166,2.356795885414562,0.5499010324329743,2.9531895352866298,0.9681560710545499,0.023766505505201714,0.16909217369784588,-1.0995274076884418
Damian Lillard,58,0.7073170731707317,0.921,7.980449938944364,2.4400556308612495,2.7586003950260793,0.4562852099311451,1.2626429172948475,-0.5013050077520328,0.01651007072372191,1.0025463282386382,2.610494515508266,-2.0653801208875517
Kyrie Irving,50,0.6097560975609756,0.916,7.9567027780279815,2.4095793727211365,1.3833606592986671,0.4976006593981757,1.5002235455821387,0.23894382289910904,0.23477750199226005,0.9775774552097239,2.055630346914989,-1.3409905859882196
Kristaps Porziņģis,42,0.5121951219512195,0.809,7.853067709608006,1.6171966610782027,0.00812092357125513,1.3239096487387918,0.07473977585839191,2.7064399250695823,0.32208447449967553,0.44324357239096046,1.6117390120403672,-0.2544062836392208
Derrick White,76,0.926829268292683,0.839,7.822508732466627,1.1448146599064533,1.4933798381568602,0.3736543109970834,0.5499010324329743,1.7194414842013932,-0.035874112780727364,0.5930568105644451,2.721467349226922,-0.7373326402387756
Walker Kessler,58,0.7073170731707317,0.52,7.790740101407408,0.337193819193463,-0.2119174341451309,3.554943919958455,-0.16284085242889915,4.927186417023008,1.8936099796331527,-0.9999572886802798,-1.0516089972073643,-0.4958694619389982
Kevin Durant,62,0.7560975609756098,0.839,7.728752599719712,2.6991038250522092,1.1633223015822816,0.9933860530025455,0.3123204041456832,1.9661910944184402,0.7062351535323035,0.5930568105644451,1.7227118457590227,-2.4275748883372184
LeBron James,70,0.8536585365853658,0.782,7.64611040548857,2.363864985510967,3.3637058787461407,1.7370641434091,0.7874816607202653,0.4856934331161563,0.5840053920219219,0.30841165803482373,1.1678476771657453,-3.1519644232365502
Jalen Williams,69,0.8414634146341463,0.789,7.413314200551362,1.9371973715493878,1.6584086064441497,0.7041779067333297,2.212965430444012,0.7324430433332035,0.3308151717504171,0.3433680802753036,0.8349291760097788,-1.3409905859882196
Jamal Murray,67,0.8170731707317073,0.886,7.403532399722696,1.9067211134092745,2.1534949113060184,0.12576161419489854,1.7378041738694294,0.23894382289910904,0.2435081992430016,0.8277642170362387,1.389793344603056,-1.2202589968383308
Nikola Vučević,73,0.8902439024390244,0.805,7.349177318759187,1.4648153703776383,0.7782551755786059,2.687319481150808,0.3123204041456832,0.7324430433332035,0.7324272452845282,0.4232684739678291,0.8349291760097788,-0.6166010510888871
Chet Holmgren,32,0.3902439024390244,0.754,7.297473137932552,0.9314808529256635,-0.04688866585784141,1.8196950423431613,0.07473977585839191,4.433687196588914,0.3831993552548663,0.16858596907290413,0.39103784113515677,-0.8580642293886644
Jaren Jackson Jr.,74,0.9024390243902439,0.781,7.284716268401921,2.028626145969726,-0.04688866585784141,0.8281242551344221,1.2626429172948475,2.7064399250695823,0.3657379607533832,0.30341788342904086,1.0568748434470898,-1.2202589968383308
